,index,review_1_text_sentiment,review_2_text_sentiment,review_1_sentiment,review_2_sentiment,review_1_sentiment_binary,review_2_sentiment_binary,review_2_sentiment_mean
2717,2717,WARM WELCOME AND GOOD FOOD,Average average average,0.94645035,4.3284163e-05,1.0,0.0,0.0
2718,2718,Welcoming bar and cafe,Place to grab a drink,0.94868827,0.93884844,1.0,1.0,1.0
2719,2719,Best restaurant in Helsinki,A vegan tasting menu for two,0.99941695,0.99775064,1.0,1.0,1.0
2720,2720,Memorable in More Ways than One,Loved Il Lago,0.9608933,0.9955791,1.0,1.0,1.0
2721,2721,,,,,,,
2722,2722,A welcome find.,Cute place,0.9414989,0.8382785,1.0,1.0,1.0
2723,2723,Funny,,0.54663306,,1.0,,1.0
2724,2724,Beyond my expectation,Amazing Cakes,0.038039297,0.999941,0.0,1.0,1.0
2725,2725,"plenty of choice, excellent service and ve...",Take away,0.99953985,0.10692659,1.0,0.0,1.0
2726,2726,Good quality worth visiting,Good inexpensive food,0.9953224,0.99530756,1.0,1.0,1.0
2727,2727,Very good,,0.99850625,,1.0,,1.0
2728,2728,Excellent,Delicious fresh sushi,0.9968779,0.999368,1.0,1.0,1.0
2729,2729,Great place to eat and relax,Really very nice italian restaurant & pizz...,0.99996436,0.9716774,1.0,1.0,1.0
2730,2730,Ale Ale Ale,Old Haunt,0.9946754,0.24809396,1.0,0.0,1.0
2731,2731,5 stars,,0.9672158,,1.0,,1.0
2732,2732,,,,,,,
2733,2733,,,,,,,
2734,2734,Tapas.,Very Bad & Very Expensive,0.7108135,0.0015978217,1.0,0.0,0.0
2735,2735,Excellent Service and Friendly Atmosphere,Fast service and good value,0.9991066,0.99842083,1.0,1.0,1.0
2736,2736,Very tasty sea food,"Great food, great service.",0.99975866,0.99977714,1.0,1.0,1.0
2737,2737,A different kind of lunch,,0.073735625,,0.0,,0.0
2738,2738,,,,,,,
2739,2739,If you like Greek food you will love this...,Great lunch,0.99567163,0.9982938,1.0,1.0,1.0
2740,2740,Surprise!,Works for dinner too,0.9255475,0.9890076,1.0,1.0,1.0
2741,2741,good food and friendly service,Lovely dinner,0.9992324,0.9928354,1.0,1.0,1.0
2742,2742,Very nice lunch,Amazing food,0.9768889,0.9998783,1.0,1.0,1.0
2743,2743,Had an excellent lunch,Business Dinner,0.99890125,0.56704843,1.0,1.0,1.0
2744,2744,Great food good service,Disappointing and pricey!,0.99955535,4.894505e-05,1.0,0.0,0.0
2745,2745,Fresh foods market,Very authentic Turkish Deli,0.99493927,0.97752595,1.0,1.0,1.0
2746,2746,"A small, quiet courtyard haven with simple...",,0.97600317,,1.0,,1.0
2747,2747,Excellent pizza,"Meh. Token ""on the walk to a tourist trap""",0.99970305,3.4509274e-05,1.0,0.0,0.0
2748,2748,Toilets ????,"Quick and pleasant enough, not enough for...",0.3425245,0.9282045,0.0,1.0,1.0
2749,2749,,,,,,,
2750,2750,More like 3.5 stars,"Great value, good food",0.6644554,0.9977009,1.0,1.0,1.0
2751,2751,Afternoon tea,Beautiful venue - fabulous friendly staff...,0.64160454,0.99975836,1.0,1.0,1.0
2752,2752,Excellent lunch!,Great seafood,0.9993124,0.9990983,1.0,1.0,1.0
2753,2753,A very curry Christmas,First visit and prob last,0.9957794,0.7303772,1.0,1.0,1.0
2754,2754,"Surprisingly good food, great decor & ambi...",Very nice surprise,0.99991226,0.996855,1.0,1.0,1.0
2755,2755,Good burgers,Juicy - Tasty - Varied,0.9912592,0.9995683,1.0,1.0,1.0
2756,2756,Gorgeous quaint little spot,fun little place for drinks,0.9997506,0.9999697,1.0,1.0,1.0
2757,2757,Oriental turkish resturant in Ljubljana,"Avarge food, wierd atmosphere",0.5900399,0.23416626,1.0,0.0,0.0
2758,2758,Cheap spot for breakfast,"Nice place for a coffee, chat or some work",0.9918571,0.9959619,1.0,1.0,1.0
2759,2759,"Service, service, service",Great but not perfect,0.2489065,0.93430877,0.0,1.0,1.0
2760,2760,The one at the MUC airport ONLY!,Best burgers in town (both vegan and meat...,0.07872489,0.99998736,0.0,1.0,1.0
2761,2761,Great find!,,0.99643457,,1.0,,1.0
2762,2762,nice french touch,Like being in Paris,0.84566104,0.96520627,1.0,1.0,1.0
2763,2763,"Small Portions, not for Hungry people!",Fabulous,0.06169036,0.9966134,0.0,1.0,1.0
2764,2764,,,,,,,
2765,2765,,,,,,,
2766,2766,Drinks and sunset,Great dinner and marvelous view of Lisbon...,0.63850427,0.99996793,1.0,1.0,1.0
2767,2767,Hidden gem in the Montmartre,Great and delicious,0.9999993,0.99943256,1.0,1.0,1.0
2768,2768,"Good for brunch, nice lokal",Pumpkin soup!!,0.9753802,0.690609,1.0,1.0,1.0
2769,2769,,,,,,,
2770,2770,,,,,,,
2771,2771,Good - just!,Average,0.8530522,0.0016032159,1.0,0.0,0.0
2772,2772,Fantastic atmosphere.,Great pub,0.999646,0.9880124,1.0,1.0,1.0
2773,2773,Ottimo pesce crudo,"Fantastic seafood, but still room for impr...",0.3836408,0.919995,0.0,1.0,1.0
2774,2774,Average Place !,Nice food,0.00079497695,0.9443206,0.0,1.0,0.0
2775,2775,Christmas dinner,Best octopus in Porto by far,0.7676928,0.99958175,1.0,1.0,1.0
2776,2776,,,,,,,
2777,2777,Nice food and prices,Very delicious,0.96060616,0.99918747,1.0,1.0,1.0
2778,2778,really good,,0.9945525,,1.0,,1.0
2779,2779,Great place to eat near British Museum,Nice to see you to see you nice,0.9984213,0.98089814,1.0,1.0,1.0
2780,2780,Outstanding pizza!,Cosy canteen style quality,0.99997807,0.9979131,1.0,1.0,1.0
2781,2781,Great buffet,Average lunch,0.9975848,0.001947701,1.0,0.0,0.0
2782,2782,Pub food,Intended Quick Stop for Dinner,0.06407678,0.99600023,0.0,1.0,1.0
2783,2783,Saved my bacon twice. Thank you!,Great sushi,0.9997792,0.9977082,1.0,1.0,1.0
2784,2784,Worst korean restaurant in berlin,amazing restaurant,0.00138551,0.99970114,0.0,1.0,1.0
2785,2785,Touristy but good,Tourist area find,0.4668944,0.114893615,0.0,0.0,0.0
2786,2786,healthy option for vegan lovers,"Healthy food, good service",0.9873382,0.99270594,1.0,1.0,1.0
2787,2787,Bittersweet meal,A great glimpse of catalan cuisine,0.624748,0.99526787,1.0,1.0,1.0
2788,2788,Good for hanging with mates,Pub with Thai food on menu,0.9967402,0.94970536,1.0,1.0,1.0
2789,2789,,,,,,,
2790,2790,,,,,,,
2791,2791,Premium Italian Icecream,,0.833596,,1.0,,1.0
2792,2792,Closed for business,Great Chalkboard menu Great Service,0.019605786,0.99999523,0.0,1.0,1.0
2793,2793,Authentic home-made Filipino cuisine,"Tasty Food, Excellent Service",0.84912413,0.999859,1.0,1.0,1.0
2794,2794,Carol Kinsella chocolate factory.,"Rip off, rip off, rip off. A greedy disgra...",0.69598854,5.8455857e-06,1.0,0.0,0.0
2795,2795,,,,,,,
2796,2796,Anrufen-bestellen-abholen,"Good food, good prices!",0.3836408,0.99850583,0.0,1.0,1.0
2797,2797,A great find!,Really good find with good Gluten Free opt...,0.9957769,0.9953466,1.0,1.0,1.0
2798,2798,Excellent!,GORGEOUS,0.9968779,0.97567177,1.0,1.0,1.0
2799,2799,Pizza,"Average food, beautiful scenery and excell...",0.40846932,0.3060893,0.0,0.0,0.0
2800,2800,A good bet for Vietnamese cuisine,Tasty..,0.910709,0.95927614,1.0,1.0,1.0
2801,2801,Brilliant,Hotel picnic!,0.99925613,0.97714686,1.0,1.0,1.0
2802,2802,Great italian food in Amsterdam,Proper slice of Italy in Amsterdam,0.9981617,0.9634475,1.0,1.0,1.0
2803,2803,Lovely meat!,Great service and tasty food,0.96529126,0.9996557,1.0,1.0,1.0
2804,2804,Reasonable prices good food,Food was nice but there are too many dishe...,0.9990494,0.04989016,1.0,0.0,1.0
2805,2805,A gastro experience,Relaxing weekend lunch,0.45948818,0.99961257,0.0,1.0,1.0
2806,2806,Cozy and Good Food,Dinner close to the Prague castle,0.9999188,0.42021555,1.0,0.0,1.0
2807,2807,Indian Restaurant on Commercial Rd,Party,0.94117415,0.32014793,1.0,0.0,1.0
2808,2808,Nice place with good Scottish food . Quain...,Hidden gem great breakfast,0.9468472,1.0,1.0,1.0,1.0
2809,2809,If you are taste,Has potential,0.08041105,0.002282828,0.0,0.0,0.0
2810,2810,Friendly Bar,Home from home,0.9249055,0.66744584,1.0,1.0,1.0
2811,2811,Good pub,Great Pub Lunch,0.7374203,0.99593925,1.0,1.0,1.0
2812,2812,"""A juice selection 'Joe the juicer' would l..."", 'Delicious and worth the wait",,0.9081342,,1.0,,1.0
2813,2813,Great For Takeaways,Lunch Menu was Fair,0.99230766,0.66071343,1.0,1.0,1.0
2814,2814,Excellent food. Lovely staff.,Great place to eat,0.99936897,0.9993534,1.0,1.0,1.0
2815,2815,,,,,,,
2816,2816,,,,,,,
2817,2817,Great tapas and good atmoshpere,Great cocktail menu,0.99982786,0.99797183,1.0,1.0,1.0
2818,2818,Fantastic place to chill or work,"Cute place, great coffee.",0.999959,0.9992383,1.0,1.0,1.0
2819,2819,Great pizza!,It sits well between the fetish bars and k...,0.99938715,0.99202824,1.0,1.0,1.0
2820,2820,Surprisingly good,Lively atmosphere,0.99720776,0.88003945,1.0,1.0,1.0
2821,2821,Nº 12 732 sur 14 619 Restaurants à Paris,Valentines Dinner,0.9758029,0.16891757,1.0,0.0,1.0
2822,2822,A well established place,Excellent,0.024222732,0.9968779,0.0,1.0,1.0
2823,2823,Excellent food and atmosphere,Very nice place! Great food! Great atmosph...,0.9998971,0.9999573,1.0,1.0,1.0
2824,2824,"Fun, loud, slightly crowded",Delicious meal to end our holiday,0.9881177,0.99998,1.0,1.0,1.0
2825,2825,Beautiful food,,0.9992074,,1.0,,1.0
2826,2826,Very nice and cosy spot,This is the ideal place to relax after a d...,0.9999871,0.99992347,1.0,1.0,1.0
2827,2827,,,,,,,
2828,2828,Cool looking craft beer bar.,Ok for beer...,0.9344653,0.05346769,1.0,0.0,0.0
2829,2829,Interesting fast food option,"Awesome vibes, not made to order",0.72732764,0.9833319,1.0,1.0,1.0
2830,2830,"good location, average food","Nice location and interior, Food was okay.",0.09692216,0.14287373,0.0,0.0,0.0
2831,2831,,,,,,,
2832,2832,Good Food. Good value,Ordinary place with very tasty food,0.9953993,0.74598455,1.0,1.0,1.0
2833,2833,,,,,,,
2834,2834,Average,Yummy Mix Grill,0.0016032159,0.99681723,0.0,1.0,0.0
2835,2835,,,,,,,
2836,2836,Hidden Coffee Treasure,,0.98137224,,1.0,,1.0
2837,2837,Casual and inexpensive mussels,À fuir cette usine à moules,0.9999771,0.23600903,1.0,0.0,1.0
2838,2838,Why we return again and again . . .,Good hearty food!,0.9960878,0.9992645,1.0,1.0,1.0
2839,2839,"Tasty food, friendly staff - healthy!",Great spot for lunch,0.99998116,0.99995255,1.0,1.0,1.0
2840,2840,Woest restaurant ever,Very good Italian food,0.2802592,0.9954402,0.0,1.0,1.0
2841,2841,Amazing taste of Greece!,Hidden treasure,0.99933726,0.99806553,1.0,1.0,1.0
2842,2842,"A Thumbs Up', ""Best carbonara I've ever had""",,0.99999475,,1.0,,1.0
2843,2843,You can find better,Not good,0.36670923,0.0014053583,0.0,0.0,0.0
2844,2844,Quick and easy Indonesian food.,Lovely small Indonesian Restaurant,0.9955915,0.9906457,1.0,1.0,1.0
2845,2845,"Stylish place, tasty food",Great Indian food,0.9999988,0.97294354,1.0,1.0,1.0
2846,2846,Low price high quality food,Typical Portuguese food with a twist,0.17901155,0.99808013,0.0,1.0,1.0
2847,2847,All the staffs of this place are THIEFS,Not to be confused with Pertu Cafe,0.69569445,0.20603621,1.0,0.0,0.0
2848,2848,"Yum yum, bun in my tum!",Varying menu depending on the day,0.9994739,0.3930029,1.0,0.0,1.0
2849,2849,,,,,,,
2850,2850,"Very, very bad and dissapointing. Hair in...",,0.0053629577,,0.0,,0.0
2851,2851,A lucky find!,Yummy Street for Chinese,0.99731517,0.9989256,1.0,1.0,1.0
2852,2852,A dangerous trap if you do not leave in ti...,"Cheap, bad and weird",0.12652203,0.0037311018,0.0,0.0,0.0
2853,2853,,,,,,,
2854,2854,A break from all the meat,"Very tasty, friendly staff and cool concep...",0.4266889,0.9999125,0.0,1.0,1.0
2855,2855,Wow!,"Poor food and service, amd expensive for...",0.56220484,8.036378e-06,1.0,0.0,0.0
2856,2856,,,,,,,
2857,2857,Great lunch at affordable prices!,"Ok, except for the noise level",0.9999833,0.20854828,1.0,0.0,1.0
2858,2858,Excellent grill and very good prices,,0.99996984,,1.0,,1.0
2859,2859,Not bad if you are bored with conference f...,Lunch during the Antiques Fair,0.03248611,0.7104845,0.0,1.0,0.0
2860,2860,And life becomes better,Super friendly & helpful staff,0.569941,0.9998889,1.0,1.0,1.0
2861,2861,Wine and tapas,very nice Tapas bar. lovely food,0.5063835,0.998536,1.0,1.0,1.0
2862,2862,"Cute venue, decent food and good service",Tasty Italian food,0.9945717,0.9701208,1.0,1.0,1.0
2863,2863,,,,,,,
2864,2864,Colorful and healthy food,Healthy & Tasty grab and go,0.6831692,0.98920137,1.0,1.0,1.0
2865,2865,Best ever Gourmet Cookies in Paris,,0.9999684,,1.0,,1.0
2866,2866,Corsega,,0.3836408,,0.0,,0.0
2867,2867,"It just works', ""Original Polish Streetfood for 2 Euro's!""",,0.5871683,,1.0,,1.0
2868,2868,Good service and dishes,Cheap & cheerful,0.899285,0.9958271,1.0,1.0,1.0
2869,2869,,,,,,,
2870,2870,Breakfast,Excellent food,0.24446288,0.999701,0.0,1.0,1.0
2871,2871,Worth a visit,The elegant family restaurant,0.9571283,0.9928032,1.0,1.0,1.0
2872,2872,Problems with no solutions,Food not suficient,0.034059525,0.016216755,0.0,0.0,0.0
2873,2873,Very accommodating,Amazing experience ~ Sushi Love in Porto...,0.99833727,0.9999757,1.0,1.0,1.0
2874,2874,Tasty well-cooked thai cuisine in an exqui...,Lovely,0.9944519,0.9884755,1.0,1.0,1.0
2875,2875,Great local food,Yet another excellent restaurant in this a...,0.9985676,0.9927043,1.0,1.0,1.0
2876,2876,,,,,,,
2877,2877,They try but the food is not good,"Tourist trap, expensive bad food, imperson...",0.0037713945,0.00016734004,0.0,0.0,0.0
2878,2878,Good everything,Like walking into another country,0.9925374,0.20777589,1.0,0.0,1.0
2879,2879,Delicious,I thought I found the best delivery pizza(,0.998396,0.9945533,1.0,1.0,1.0
2880,2880,rude and loud,Great people-watching espresso spot,0.00091823936,0.99974537,0.0,1.0,1.0
2881,2881,Disastrous service.,,0.2984801,,0.0,,0.0
2882,2882,Ingredients are fresh.,"Focus on fresh food in centre of Geneva, a...",0.91099113,0.4937603,1.0,0.0,1.0
2883,2883,Lovely Laid Back Setting,Rude staff,0.9998131,0.0003888011,1.0,0.0,1.0
2884,2884,Excellent Lunch,Really Nice Place,0.9993124,0.99386495,1.0,1.0,1.0
2885,2885,Still Good After all These Years,,0.9999185,,1.0,,1.0
2886,2886,,,,,,,
2887,2887,,,,,,,
2888,2888,Good food and reasonable value,"Good food, good prices, no corkage",0.99995434,0.9988502,1.0,1.0,1.0
2889,2889,good italian food though the owner and che...,Good place to grab a bite,0.94227326,0.9987631,1.0,1.0,1.0
2890,2890,Fast self service restaurant with cheap pi...,Pizza lunch,0.9975774,0.44116846,1.0,0.0,1.0
2891,2891,Great experience especially very close to...,"Yummy food, good service",0.9993376,0.99986243,1.0,1.0,1.0
2892,2892,Terrible,pizza delight,0.0009990335,0.9992058,0.0,1.0,1.0
2893,2893,pizza like to has to be,Perfect stop in El Born,0.93213785,0.99946237,1.0,1.0,1.0
2894,2894,Wonderful doner kebabs,Chicken Heaven!,0.98814726,0.9985204,1.0,1.0,1.0
2895,2895,Fantastic restaurant + great speak easy do...,Great small and cozy place,0.99998975,0.9998621,1.0,1.0,1.0
2896,2896,High prices / low quality,Overpriced and slow service,0.00377509,3.0764484e-05,0.0,0.0,0.0
2897,2897,,,,,,,
2898,2898,The best kebab in Athens,,0.9995651,,1.0,,1.0
2899,2899,Our early morning saviour,Five Times,0.94624203,0.61931443,1.0,1.0,1.0
2900,2900,Good food,Authentic-ish Italian Resto Walking distan...,0.9709294,0.77637994,1.0,1.0,1.0
2901,2901,Dinner,Buffet Style a bit pricey,0.7689172,0.77693313,1.0,1.0,1.0
2902,2902,,,,,,,
2903,2903,Please Run away as far as possible,Keep walking...uncomfortable place.,0.00397557,0.004131496,0.0,0.0,0.0
2904,2904,Excellent food! Great service!,Mixed results,0.99988234,0.12879223,1.0,0.0,1.0
2905,2905,,,,,,,
2906,2906,Not bad but there are much better sushi re...,Just your average Sushi place,0.24106044,2.8572656e-05,0.0,0.0,0.0
2907,2907,Vegetarian fine dining,Good vegetarian restaurant in the city!,0.7656505,0.96827424,1.0,1.0,1.0
2908,2908,"Great staff, good food, good beer","Not touristy, busy with locals...decent fo...",0.99985695,0.2856366,1.0,0.0,1.0
2909,2909,Awesome,Lucky find,0.9979625,0.9942534,1.0,1.0,1.0
2910,2910,Best Tête de Veau in Paris,Very nice French cuisine,0.99937797,0.9885103,1.0,1.0,1.0
2911,2911,Very nice food.,Impressed,0.9903203,0.9824838,1.0,1.0,1.0
2912,2912,Good value restaurant,Double Excellence,0.9227712,0.999997,1.0,1.0,1.0
2913,2913,,,,,,,
2914,2914,Good place for a reasonably priced dinner,A bit disappointing.,0.9997407,0.00096312165,1.0,0.0,1.0
2915,2915,Delicious pizza and other Italian speciali...,Fantastico!,0.99693394,0.3836408,1.0,0.0,1.0
2916,2916,,,,,,,
2917,2917,One of the best Asian restaurant in Brusse...,Easy going little place,0.9998775,0.9489306,1.0,1.0,1.0
2918,2918,Wanted More Lobster!,Great Experience for Food Lovers,0.02237451,0.9999678,0.0,1.0,1.0
2919,2919,Gonna steal this concept,Sushi? Burrito? Sushiburrito!!!,0.99904037,0.2876774,1.0,0.0,1.0
2920,2920,Go. Just go.,Family is the word here.,0.5823707,0.9125409,1.0,1.0,1.0
2921,2921,Inexpensive for the Champs Elysees.,Better and cheaper than fast food,0.95551693,0.77146125,1.0,1.0,1.0
2922,2922,"Go for the view, not for the food",Sun kissed roof,0.86712396,0.97286,1.0,1.0,1.0
2923,2923,A great lunch restaurant,Emergency food,0.9981351,0.38751823,1.0,0.0,1.0
2924,2924,Authentic Thai Cuisine,"Make the effort to go here, amazing",0.9506731,0.99959326,1.0,1.0,1.0
2925,2925,Excellent restaurant!,,0.9992101,,1.0,,1.0
2926,2926,Nice Indian Food,Excellent!,0.6825514,0.9968779,1.0,1.0,1.0
2927,2927,"Good food, good service, also for large gr...",A very good libanaise !,0.9992666,0.99962103,1.0,1.0,1.0
2928,2928,Quaint Tea House,Impressive for a museum restaurant,0.89923024,0.9960541,1.0,1.0,1.0
2929,2929,"""Best tartar I've had in a long time"", 'Hosts were very friendly.\nFood was delic...",,0.9999199,,1.0,,1.0
2930,2930,Glutenfree sandwiches to die for 😋,Yummy and friendly,0.9153564,0.9989194,1.0,1.0,1.0
2931,2931,,,,,,,
2932,2932,Nice place to have lunch in the European D...,Must try jacket potatoes and bagels in EU...,0.9957186,0.99844456,1.0,1.0,1.0
2933,2933,Excellent cous cous,,0.9968779,,1.0,,1.0
2934,2934,Tortilla heaven,Local Place for Pinchos & Red Wine with Ve...,0.99090195,0.9607414,1.0,1.0,1.0
2935,2935,Favourite,,0.95747364,,1.0,,1.0
2936,2936,excellent food and fantastic atmosphere,A welcome breath of fresh air amongst the...,0.99998987,0.9993894,1.0,1.0,1.0
2937,2937,"Interesting menu, great food, nice service...",Very good Czech cuisine,0.99151874,0.9993434,1.0,1.0,1.0
2938,2938,"""Best 'pulpo a la gallega' in town"", 'Good seafood and galician food",,0.9857987,,1.0,,1.0
2939,2939,A regular stop in Madrid,Very good,0.9963969,0.99850625,1.0,1.0,1.0
2940,2940,Friendly local lunch spot,Mr b,0.9996761,0.15729031,1.0,0.0,1.0
2941,2941,"""Stingy servings""",Good for drinks,0.02850926,0.9395807,0.0,1.0,0.0
2942,2942,Beer,,0.62184876,,1.0,,1.0
2943,2943,Lovely food!,"Amazing food, warmly welcoming staff!",0.995348,0.9999956,1.0,1.0,1.0
2944,2944,,,,,,,
2945,2945,Our first lunch in Barcelona! Wonderful ex...,Delightful,0.9905937,0.9832462,1.0,1.0,1.0
2946,2946,Great Buffet,Great experience at Rani,0.9975848,0.9990345,1.0,1.0,1.0
2947,2947,Wonderful place...,Perfection on a plate,0.9992783,0.9999467,1.0,1.0,1.0
2948,2948,Great lunch,Flavour to the max,0.9982938,0.9974073,1.0,1.0,1.0
2949,2949,Great cheap pizza,Good for your late night snack!,0.9997859,0.9761418,1.0,1.0,1.0
2950,2950,Very good,,0.99850625,,1.0,,1.0
2951,2951,Suits for good lunch or business dinner,Lunch,0.7920227,0.365851,1.0,0.0,1.0
2952,2952,Good view good food,Great Italian in Paris near Eiffel Tower,0.97399664,0.99822223,1.0,1.0,1.0
2953,2953,Great!!!,Quirky,0.981614,0.9498314,1.0,1.0,1.0
2954,2954,Terrible service,normal subway,0.00019034743,0.70983064,0.0,1.0,0.0
2955,2955,Excellent Vietnamese restaurant,next level Vietnamese food,0.9977329,0.7905067,1.0,1.0,1.0
2956,2956,Lunch,Ummm.. no.,0.365851,0.012016684,0.0,0.0,0.0
2957,2957,,,,,,,
2958,2958,Absolutely fantastic.,Local gem for a Sunday lunch,0.99999833,0.9999974,1.0,1.0,1.0
2959,2959,,,,,,,
2960,2960,Good quality and price,Great Coffee,0.95823616,0.9992832,1.0,1.0,1.0
2961,2961,Great place for food and drinks,Excellent - but a bit pricey?,0.9996812,0.98800874,1.0,1.0,1.0
2962,2962,"Good food, lot of options",Great city hotel,0.93672043,0.9812703,1.0,1.0,1.0
2963,2963,Lovely Place,Amazing place!,0.9967581,0.9998847,1.0,1.0,1.0
2964,2964,A local took us there,okay,0.95375246,0.011575103,1.0,0.0,0.0
2965,2965,Great way to bring in the New Year!,Great Breakfast would like to Try Again,0.9904084,0.9913591,1.0,1.0,1.0
2966,2966,Yuk,Good standard food,0.004048884,0.89391065,0.0,1.0,0.0
2967,2967,Confused Staff and Nice food,Well...okay,0.015414417,0.13912761,0.0,0.0,0.0
2968,2968,its all rite,,0.4332999,,0.0,,0.0
2969,2969,Busy old fashioned winebar.,lunch with colleagues,0.2348114,0.8843857,0.0,1.0,1.0
2970,2970,"Fabulous evening, great wine!",Dinner night!,0.99881995,0.9593266,1.0,1.0,1.0
2971,2971,Quiet and space - in Central Brixton!,Coffee and Jam,0.9957527,0.40232262,1.0,0.0,1.0
2972,2972,Neither bad nore cheap,No reason to complain,0.34739166,0.25254112,0.0,0.0,0.0
2973,2973,Great Christmas dinner,Nice atmosphere and formel service.,0.99965954,0.9538085,1.0,1.0,1.0
2974,2974,"Very good food, friendly staff",Two(2) WOW factors!!,0.9998629,0.07841748,1.0,0.0,1.0
2975,2975,Because we need to eat,Simply delicious,0.7695118,0.9995155,1.0,1.0,1.0
2976,2976,,,,,,,
2977,2977,Tasty juices and raw food,Yay for raw food!,0.8861463,0.9802303,1.0,1.0,1.0
2978,2978,Great café and bookstore,Lovely dinner,0.998325,0.9928354,1.0,1.0,1.0
2979,2979,Lovely wine bar and shop,Best place in the area,0.9987546,0.99975675,1.0,1.0,1.0
2980,2980,Great sensorial experience,Perfect Way to Watch the Sunset in Athens,0.9982205,0.9938048,1.0,1.0,1.0
2981,2981,,,,,,,
2982,2982,"Tacky place, ignorant staff and overpriced...",Disappointing,1.12669095e-05,7.7957426e-05,0.0,0.0,0.0
2983,2983,Fair,,0.90579027,,1.0,,1.0
2984,2984,Worth the price!,Disappointing !,0.8522934,7.7957426e-05,1.0,0.0,0.0
2985,2985,Very good,"Lovely food, nice service",0.99850625,0.9970696,1.0,1.0,1.0
2986,2986,All dishes were supppeerrr!!,,0.18127829,,0.0,,0.0
2987,2987,,,,,,,
2988,2988,,,,,,,
2989,2989,"Nice place, Great burgers",Happy to find this small burger restaurant...,0.99959445,0.90294784,1.0,1.0,1.0
2990,2990,Lovely venue,very good lunch before 1 pm,0.95171285,0.9994824,1.0,1.0,1.0
2991,2991,,,,,,,
2992,2992,Late Beers,Fantastic Burgers,0.8881686,0.9999696,1.0,1.0,1.0
2993,2993,Haunting Experience,Mr Vain,0.25150436,0.113085836,0.0,0.0,0.0
2994,2994,,,,,,,
2995,2995,Simple restaurant not crowded with tourist...,Great seafood!,0.44324738,0.9990983,0.0,1.0,1.0
2996,2996,Lunch,Lunch,0.365851,0.365851,0.0,0.0,0.0
2997,2997,Well located and decorated with good food.,Snail service and arrogant manager,0.99991477,0.005176991,1.0,0.0,1.0
2998,2998,Great pizza and friendly staff,Dinner,0.99991715,0.7689172,1.0,1.0,1.0
2999,2999,Very good with reservations,Rounded of an excellent Rijksmuseum experi...,0.9999883,0.9999713,1.0,1.0,1.0
3000,3000,Quality trash food,"Very Polite,Helpful young man serving!!",0.012484908,0.99375725,0.0,1.0,1.0
3001,3001,Friendly staff and nice location,Awesome self cooked steak!,0.99681675,0.99949247,1.0,1.0,1.0
3002,3002,,,,,,,
3003,3003,Worst restaurant ever,,0.0002053976,,0.0,,0.0
3004,3004,Good food reasonable price,,0.9992651,,1.0,,1.0
3005,3005,Lots of food and drink,Terrible,0.9584274,0.0009990335,1.0,0.0,0.0
3006,3006,Excellent potato dish and great service,Good service and delicious food,0.99999726,0.9967443,1.0,1.0,1.0
3007,3007,Daily menus for affordable prices,Lunch menu queen,0.9998287,0.8502289,1.0,1.0,1.0
3008,3008,One of the better places in this location,Great food,0.9154471,0.9993328,1.0,1.0,1.0
3009,3009,Good value,"Great service, ok food",0.84977084,0.6940379,1.0,1.0,1.0
3010,3010,Not worth a visit,Hamburger like Home,0.0005710423,0.6208473,0.0,1.0,0.0
3011,3011,Very good reasonably priced lunch,Lovely Parisian Bistro,0.99995565,0.96830827,1.0,1.0,1.0
3012,3012,"Small, but innovative restaurant in a nice...",One word: AMAZING. A must visit for any fo...,0.94191635,0.9999398,1.0,1.0,1.0
3013,3013,"Beers, Snack and some sport",A hole in the wall with no tourists,0.99107116,0.13930947,1.0,0.0,1.0
3014,3014,Wonderful breakfast,Very nice resturang !,0.9979545,0.95801127,1.0,1.0,1.0
3015,3015,To many alcoholics,A small cozy place right in town!,0.22290975,0.99976695,0.0,1.0,1.0
3016,3016,Traditional Paella,,0.7787448,,1.0,,1.0
3017,3017,Ambiance and service sell this restaurant,Amazing food and staff,0.2499879,0.9998591,0.0,1.0,1.0
3018,3018,Good food,"A great lunch, different from all you can...",0.9709294,0.9997004,1.0,1.0,1.0
3019,3019,Spoilt for choice,Worth a visit before the Theatre,0.5168613,0.96532065,1.0,1.0,1.0
3020,3020,Aperitivo,Get wasted,0.3836408,0.0041829646,0.0,0.0,0.0
3021,3021,Excellent Asian Food,Fresh homemade Korean food,0.99902034,0.9951825,1.0,1.0,1.0
3022,3022,Posh quality- nothing extraordinary though...,Nice family restaurant.,0.1492208,0.7507154,0.0,1.0,0.0
3023,3023,,,,,,,
3024,3024,Fantastic restaurant-a hidden gem!,A lovely little Greek restaurant,0.99999726,0.97395694,1.0,1.0,1.0
3025,3025,,,,,,,
3026,3026,Hmmmm,Dry meat and tasteless cheese,0.036544323,4.0083546e-06,0.0,0.0,0.0
3027,3027,Authentic Indian Restaurant,True indian meal with great service,0.7230614,0.9999962,1.0,1.0,1.0
3028,3028,Great food with hidden costs.,Nice location,0.9995501,0.50306207,1.0,1.0,1.0
3029,3029,Excellent spaghetti marinara in a laid bac...,Excellent food,0.9982676,0.999701,1.0,1.0,1.0
3030,3030,,,,,,,
3031,3031,Excellent boulangerie,Excellent bread; quaint street cafe,0.9968779,0.99936986,1.0,1.0,1.0
3032,3032,Great Steak!!!,Good steak,0.9989892,0.94062793,1.0,1.0,1.0
3033,3033,,,,,,,
